Company,Title,States,Date Issued,Recall Reason,Recall Status,Recall Classification
,Del Valle Import And Export Llc Retira Chorizo De Cerdo Chorizo Producido Sin El Beneficio De La Inspección,,2023-10-20,Produced Without Benefit of Inspection,Closed Recall,Class I
,"East Coast Food Distributors, Inc. Recalls Ineligible Pork Chicharrones Products Imported from Colombia",,2023-10-19,Import Violation,Active Recall,Class I
,"East Coast Food Distributors, Inc. Retira Chicharrones De Cerdo Descalificados Importados De Colombia",,2023-10-19,Import Violation,Active Recall,Class I
Aunt Kitty&#039;s Foods Inc,Aunt Kitty&#039;s Foods Inc. Recalls Canned Ready-to-Eat Chicken Pot Pie Soup Products Due to Misbranding and Undeclared Allergens,,2023-10-19,Misbranding,Closed Recall,Class I
Aunt Kitty&#039;s Foods Inc,Aunt Kitty&#039;s Foods Inc. Retira Sopa Pot Pie De Pollo Lista Para El Consumo Enlatada Debido A Errores De Rotulación Y Alergenos No Declarados,,2023-10-19,Misbranding,Closed Recall,Class I
"Phu Huong Food Company, Inc.",Phu Huong Food Company Recalls Ready-To-Eat Beef and Poultry Meatball Products Due to Possible Listeria Contamination,,2023-10-16,Product Contamination,Closed Recall,Class I
"Phu Huong Food Company, Inc.",Phu Huong Food Company Retira Albóndigas De Carne De Res Y Aves De Corral Por La Posible Contaminación De Listeria,,2023-10-16,Product Contamination,Closed Recall,Class I
,Mrs. Pasta Recalls Frozen Meat Pasta Products  Produced Without Benefit of Inspection,,2023-10-16,Produced Without Benefit of Inspection,Closed Recall,Class I
,Mrs. Pasta Retira Productos De Pasta De Carne Congelada  Producidos Sin El Beneficio De La Inspección,,2023-10-16,Produced Without Benefit of Inspection,Closed Recall,Class I
Don Miguel Foods,Don Miguel Foods Recalls Frozen Ready-To-Eat Carne Asada Burrito Products Due to Possible Listeria Contamination,Nationwide,2023-10-13,Product Contamination,Closed Recall,Class I
Don Miguel Foods,Don Miguel Foods Retira Burritos De Carne Asada Congelados Listos Para El Consumo Por La Posible Contaminación De Listeria,Nationwide,2023-10-13,Product Contamination,Closed Recall,Class I
Plenus Group Inc.,FSIS Issues Public Health Alert for A Ready-To-Eat Stuffed Pepper Soup with Meatballs Product Due to Misbranding and Undeclared Allergen,Massachusetts,2023-10-06,Unreported Allergens,Public Health Alert,Public Health Alert
Sunnyvalley Smoked Meats,FSIS Issues Public Health Alert for Kirkland Signature Ready-To-Eat Ham Products Due to Possible Listeria Contamination,"California, Nevada",2023-10-06,Product Contamination,Public Health Alert,Public Health Alert
,"Del Valle Import and Export, LLC, Recalls Ineligible Pork Chicharrones Product Imported From Honduras","Texas, Alabama, Florida",2023-10-04,Import Violation,Active Recall,Class I
,"Del Valle Import And Export, LLC Retira Producto No Autorizado De Chicharrones De Cerdo Importado De Honduras","Texas, Alabama, Florida",2023-10-24,Import Violation,Active Recall,Class I
Green Valley Foods,Green Valley Foods Recalls Frozen Meat Pizza Products Due to Misbranding and Undeclared Allergens,"Minnesota, Montana, North Dakota",2023-09-23,"Misbranding, Unreported Allergens",Closed Recall,Class II
Green Valley Foods,Green Valley Foods Retira Productos Congelados De Pizza De Carne Debido A Un Error De Rotulación Y Alérgenos No Declarados ,"Minnesota, Montana, North Dakota",2023-10-24,"Misbranding, Unreported Allergens",Closed Recall,Class II
Hormel Foods Corporation,FSIS Issues Public Health Alert for Canned Meat Product Due to Possible Under Processing  ,Texas,2023-09-16,Processing Defect,Public Health Alert,Public Health Alert
"Green Bay Dressed Beef, LLC","American Foods Group, LLC Recalls Ground Beef Products Due to Possible E. Coli O103 Contamination","Georgia, Michigan, Ohio",2023-09-15,Product Contamination,Closed Recall,Class I
"Green Bay Dressed Beef, LLC","American Foods Group, LLC Retira Productos De Carne De Res Molida Debido A Una Posible Contaminación Con E. Coli O103","Georgia, Michigan, Ohio",2023-10-24,Product Contamination,Closed Recall,Class I
"Kettle Cuisine Midco, LLC",FSIS Issues Public Health Alert for Kirkland Signature Chicken Tortilla Soup Product Due to Misbranding,"Alaska, California, Idaho, Montana, Nevada, Oregon, Utah, Washington",2023-09-13,Misbranding,Public Health Alert,Public Health Alert
Custom Made Meals,"Custom Made Meals, LLC Recalls Bacon Wrapped Chicken Products Due to Misbranding and Undeclared Allergen",,2023-09-09,Misbranding,Closed Recall,Class I
Custom Made Meals,"Custom Made Meals, LLC Retira Producto Envuelto En Tocino Con Jalapeño Debido A Un Error De Rotulación Y Un Alérgeno No Declarado",,2023-10-24,Misbranding,Closed Recall,Class I
,"Empacadora Frape, USA LLC, Recalls Pork Products  Imported Without Benefit of Import Reinspection",,2023-09-07,Import Violation,Closed Recall,Class I
,"Empacadora Frape, USA LLC, Retira Productos De Cerdo Importados Sin El Beneficio De La Inspección De Importación",,2023-10-24,Import Violation,Closed Recall,Class I
,"AJC International, Inc. Recalls Frozen, Raw Pork Products Imported Without Benefit of Import Reinspection","Hawaii, American Samoa",2023-09-05,Import Violation,Closed Recall,Class I
,"AJC International, Inc. Retira Productos Congelados De  Cerdo Importados Sin El Beneficio De La Inspección De Importación","Hawaii, American Samoa",2023-10-24,Import Violation,Closed Recall,Class I
"Conagra Brands (Conagra Foods Packaged Foods, LLC)",ConAgra Brands Inc. Recalls Banquet Brand Frozen Chicken Strips Entree Due to Possible Foreign Matter Contamination,Nationwide,2023-09-02,Product Contamination,Closed Recall,Class I
"Conagra Brands (Conagra Foods Packaged Foods, LLC)",ConAgra Brands Inc. Retira Plato Preparado Congelado De Tiras De Pollo Debido A Una Posible Contaminación Con Materia Extraña,Nationwide,2023-10-24,Product Contamination,Closed Recall,Class I
The Hillshire Brands Company,Hillshire Brands Company Recalls Smoked Sausage Products Due to Possible Foreign Matter Contamination,"California, Maryland, New Mexico, New York, North Carolina, Pennsylvania, Virginia",2023-09-02,Product Contamination,Closed Recall,Class I
The Hillshire Brands Company,Hillshire Brands Company Retira Productos De Salchicha Ahumada Debido A Una Posible Contaminación Con Materia Extraña,"California, Maryland, New Mexico, New York, North Carolina, Pennsylvania, Virginia",2023-10-24,Product Contamination,Closed Recall,Class I
Dean &amp; Peeler Meatworks,"Dean &amp; Peeler Meatworks, LLC, Recalls Fresh Ground Beef Products Due to Possible E. Coli O157:H7 Contamination",Texas,2023-08-29,Product Contamination,Closed Recall,Class I
Dean &amp; Peeler Meatworks,"Dean &amp; Peeler Meatworks, LLC, Retira Productos Frescos De Carne De Res Molida Debido A Una Posible Contaminación Con E. Coli O157:H7",Texas,2023-10-24,Product Contamination,Closed Recall,Class I
Wegmans Food Markets,FSIS Issues Public Health Alert for Wegmans Jamaican Jerk Style Chicken Products Due to Misbranding and Undeclared Allergens,"Massachusetts, New York, Pennsylvania",2023-08-25,"Misbranding, Unreported Allergens",Public Health Alert,Public Health Alert
"Kettle Cuisine Midco, LLC",FSIS Issues Public Health Alert for Shoprite Brand  Bowl &amp; Basket Chicken Noodle Soup Due to  Misbranding and Undeclared Allergens,"New Jersey, New York",2023-08-25,"Misbranding, Unreported Allergens",Public Health Alert,Public Health Alert
,"Bellboy Import Corporation Recalls Frozen, Raw Pork Products Produced Without Benefit of Import Reinspection",Minnesota,2023-08-15,Import Violation,Closed Recall,Class I
,"Bellboy Import Corporation Retira Productos Congelados, Productos De Cerdo Crudo Producidos Sin El Beneficio De Una Reinspección De Importación",Minnesota,2023-08-15,Import Violation,Closed Recall,Class I
E.N.A. Meat Packing Inc.,"E.N.A. Meat Packing Inc. Recalls Frozen, Raw Beef and Lamb Products Produced Without Benefit of Inspection","New Jersey, New York",2023-08-09,Produced Without Benefit of Inspection,Active Recall,Class I
,FSIS Issues Public Health Alert for Fresh Salads  and Wraps with Meat and Poultry due to  Possible Lettuce Contamination,,2023-08-07,Product Contamination,Public Health Alert,Public Health Alert
Day-Lee Foods Inc.,Day-Lee Foods Inc. Recalls Frozen Ready-To-Eat Poultry Products Due to Misbranding and Undeclared Allergens,California,2023-08-05,"Misbranding, Unreported Allergens",Closed Recall,Class I
Day-Lee Foods Inc.,Day-Lee Foods Inc. Retira Productos De Aves Listos Para Consumir Debido A Un Error De Rotulación Y Alérgenos No Declarados,California,2023-08-05,"Misbranding, Unreported Allergens",Closed Recall,Class I
Cargill Meat Solutions,FSIS Issues Public Health Alert for Raw Beef Product Due to Possible Foreign Matter Contamination,Nationwide,2023-08-04,Product Contamination,Public Health Alert,Public Health Alert
,Kingsland Food Processing Corp. Recalls Various Frozen Meat and Poultry Products Produced Without Benefit of Inspection,,2023-08-11,Produced Without Benefit of Inspection,Closed Recall,Class I
,E B Express Provisions Recalls Ineligible Canned Pork and Beef Bean Stew Products Imported From Brazil,,2023-07-26,Import Violation,Closed Recall,Class I
,"Nuevo Garcia Foods, LLC Recalls Fully Cooked Pulled Pork Product Due to Misbranding and Undeclared Allergen",Texas,2023-07-21,"Misbranding, Unreported Allergens",Closed Recall,Class II
,FSIS Issues Public Health Alert for Never Any! Brand Ready-To-Eat Ham and Cheese Lunch Kits Due to Misbranding and an Undeclared Allergen,Nationwide,2023-07-19,"Misbranding, Unreported Allergens",Public Health Alert,Public Health Alert
,"Mulan Dumpling, LLC, Recalls Frozen Meat and Poultry Dumpling Products Produced Without Benefit of Inspection",Nationwide,2023-07-27,Produced Without Benefit of Inspection,Closed Recall,Class I
,"Suya Slice LLC, Recalls Ready-to-Eat Beef Products Produced Without Benefit of Inspection",Nationwide,2023-07-14,Produced Without Benefit of Inspection,Closed Recall,Class I
"Perdue Premium Meat Company, Inc.","Perdue Premium Meat Company, Inc., DBA Alexander &amp; Hornung Recalls Brookside Brand Fully Cooked Beef Wiener Products Due to Misbranding and an Undeclared Allergen","Michigan, New York, Ohio, Pennsylvania",2023-07-31,"Misbranding, Unreported Allergens",Closed Recall,Class I
House Of Raeford Farms,House of Raeford Recalls Foster Farms Brand Mini  Chicken Corn Dog Products Due to Possible Spoilage,,2023-06-30,Unfit for Human Consumption,Closed Recall,Class I
,"Panamerican Foods, LLC Recalls Ineligible Pork and Beef Bean Stew Products Imported from Brazil",,2023-07-26,Import Violation,Closed Recall,Class I
,BCI Foods Inc. Recalls Chicken Noodle Soup Products Produced Without Benefit of Import Reinspection,"California, Michigan, Minnesota, Tennessee",2023-06-20,Import Violation,Closed Recall,Class I
,BCI Foods Inc. Retira Productos De Sopa De Fideos De Pollo  Producidos Sin El Beneficio De La Inspección De Importación,"California, Michigan, Minnesota, Tennessee",2023-06-20,Import Violation,Closed Recall,Class I
,"Distribuidora El Paisano Import, LLC, Recalls Ineligible Ready-To-Eat Pork Rind Product Imported from Guatemala","Connecticut, Massachusetts, New York, Rhode Island",2023-06-20,Import Violation,Closed Recall,Class I
,"Distribuidora El Paisano Import, LLC, Retira Producto No Autorizado De Corteza De Cerdo Listo Para Consumir Que Fue Importado Desde Guatemala","Connecticut, Massachusetts, New York, Rhode Island",2023-06-20,Import Violation,Closed Recall,Class I
"Conagra Brands (Conagra Foods Packaged Foods, LLC)","Conagra Brands, Inc., Recalls Frozen Beef Shepherd’s Pie Products Due to Possible Foreign Matter Contamination","California, Colorado, Oregon, Utah",2023-06-16,Product Contamination,Closed Recall,Class II
"Conagra Brands (Conagra Foods Packaged Foods, LLC)","Conagra Brands, Inc., Retira Productos Congelados De Pastel De Carne Res Y Puré De Patatas Debido A Una Posible Contaminación Con Materia Extraña","California, Colorado, Oregon, Utah",2023-06-16,Product Contamination,Closed Recall,Class II
"Johnsonville, LLC","Johnsonville, LLC, Recalls Beddar With Cheddar Ready-to-Eat Pork Sausage Links Due to Possible Foreign Matter Contamination",,2023-06-15,Product Contamination,Closed Recall,Class II
"Johnsonville, LLC","Johnsonville, LLC, Retira Salchichas De Cerdo Beddar Con Cheddar Listas Para Consumir Debido A Una Posible Contaminación Con Materia Extraña",,2023-06-15,Product Contamination,Closed Recall,Class II
J.T.M. Provisions Company,J.T.M. Provisions Company Recalls Ready-To-Eat Homestyle Chili Topping Product Due to Misbranding and an Undeclared Allergen,Nationwide,2023-06-09,"Misbranding, Unreported Allergens",Closed Recall,Class I
J.T.M. Provisions Company,J.T.M. Provisions Company  Retira Productos De Adición Para Chile Casero Listo Para Consumir Debido A Un Error De Rotulación Y Alérgenos No Declarados,Nationwide,2023-06-09,"Misbranding, Unreported Allergens",Closed Recall,Class I
J T M Provisions Company,J.T.M. Provisions Company Recalls Frozen Ready-To-Eat Beef Chili Products Due To Possible Foreign Matter Contamination,"California, Massachusetts, New York, Pennsylvania, New Jersey, Wisconsin",2023-06-04,Product Contamination,Closed Recall,Class I
J T M Provisions Company,J.T.M. Provisions Company Retira Productos De Chile De Res Listos Para Consumir Debido A Una Posible Contaminación Con Materia Extraña,"California, Massachusetts, New York, Pennsylvania, New Jersey, Wisconsin",2023-06-04,Product Contamination,Closed Recall,Class I
,DEKA Trading Corp. Recalls Ineligible Ready-To-Eat Pork Rind Products Imported from Guatemala,"Georgia, New Jersey, New York, Rhode Island, Virginia",2023-07-10,Import Violation,Active Recall,Class I
,DEKA Trading Corp. Retira Productos Descalificados De Chicharrón De Cerdo Listo Para El Consumo Importado De Guatemala,"Georgia, New Jersey, New York, Rhode Island, Virginia",2023-06-23,Import Violation,Active Recall,Class I
,"E.N.A. Meat Packing Inc. Recalls Frozen, Raw Lamb Products Imported Without Benefit of Import Reinspection",Texas,2023-06-01,Produced Without Benefit of Inspection,Closed Recall,Class I
,E.N.A. Meat Packing Inc.  Retira Cordero Crudo Congelado  Importado Sin El Beneficio De Reinspección De Importación,Texas,2023-06-01,Produced Without Benefit of Inspection,Closed Recall,Class I
,Sofina Foods Inc. Recalls Ready-To-Eat Mortadella Deli Meat Products Due to Misbranding and Undeclared Allergen,"California, Illinois, Michigan, New York, Pennsylvania",2023-05-19,"Misbranding, Unreported Allergens",Closed Recall,Class I
, Sofina Foods Inc. Retira Productos De Cortes Fríos De Mortadela Listos Para Consumir Debido A Un Error De Rotulación Y Un Alérgeno No Declarado ,"California, Illinois, Michigan, New York, Pennsylvania",2023-05-19,"Misbranding, Unreported Allergens",Closed Recall,Class I
,"Eastern Meat Solutions, Inc. Recalls Raw, Boneless Pork Products Imported Without Benefit of Import Reinspection",,2023-05-11,Produced Without Benefit of Inspection,Closed Recall,Class I
,"Eastern Meat Solutions, Inc. Retira Productos Crudos De Cerdo Sin Hueso Importados Sin El Beneficio De La Inspección De Importación",,2023-05-11,Produced Without Benefit of Inspection,Closed Recall,Class I
,"Mitten Gourmet, LLC, Recalls Ready-to-Eat Pork Rind Products  Produced without Benefit of Inspection",,2023-05-10,Produced Without Benefit of Inspection,Closed Recall,Class I
,"Mitten Gourmet, LLC, Retira Productos De Chicharron De Cerdo Listos Para Consumir Producidos Sin El Beneficio De La Inspección",,2023-05-10,Produced Without Benefit of Inspection,Closed Recall,Class I
"A.J. Sons, Inc.",FSIS Issues Public Health Alert for Frozen Meatloaf Entree Products Due to Misbranding and Undeclared Allergens,California,2023-05-02,"Misbranding, Unreported Allergens",Public Health Alert,Public Health Alert
Ivars Commissary,FSIS Issues Public Health Alert for Ready-to-Eat Meat Soup Products Due to Possible Contamination,Nationwide,2023-04-25,Insanitary Conditions,Public Health Alert,Public Health Alert
Alef Sausage,Alef Sausage Inc. Recalls Ready-To-Eat Meat and Poultry Sausage Products Due to Misbranding and Possible Temperature Abuse,"New York, New Jersey, Pennsylvania",2023-04-21,"Misbranding, Processing Defect",Closed Recall,Class I
Alef Sausage,Alef Sausage Inc. Retira Productos De Salchicha De Carne Y Pollo Listos Para Consumir Debido A Un Error De Rotulación Y Un Posible Sometimiento A Temperaturas Indebidas,"New York, New Jersey, Pennsylvania",2023-04-21,"Misbranding, Processing Defect",Closed Recall,Class I
"Abbyland Foods, Inc.",Abbyland Foods Recalls Frozen Turkey Sausage Patties Products Due to Misbranding and Undeclared Allergen,Nationwide,2023-04-21,"Misbranding, Unreported Allergens",Closed Recall,Class I
